Type,Date,Price
GC Equity Fund,7/16/2005,110.83
GC Equity Fund,7/17/2005,110.83
GC Equity Fund,7/18/2005,111.12
GC Equity Fund,7/19/2005,111.41
GC Equity Fund,7/20/2005,111.51
GC Equity Fund,7/21/2005,111.41
GC Equity Fund,7/22/2005,110.92
GC Equity Fund,7/23/2005,110.92
GC Equity Fund,7/24/2005,110.92
GC Equity Fund,7/25/2005,111.51
GC Equity Fund,7/26/2005,110.93
GC Equity Fund,7/27/2005,110.63
GC Equity Fund,7/28/2005,111.13
GC Equity Fund,7/29/2005,111.63
GC Equity Fund,7/30/2005,111.63
GC Equity Fund,7/31/2005,111.63
GC Equity Fund,8/1/2005,111.83
GC Equity Fund,8/2/2005,112.62
GC Equity Fund,8/3/2005,113.79
GC Equity Fund,8/4/2005,113.79
GC Equity Fund,8/5/2005,113.6
GC Equity Fund,8/6/2005,113.6
GC Equity Fund,8/7/2005,113.6
GC Equity Fund,8/8/2005,113.02
GC Equity Fund,8/9/2005,112.44
GC Equity Fund,8/10/2005,113.3
GC Equity Fund,8/11/2005,114.08
GC Equity Fund,8/12/2005,113.39
GC Equity Fund,8/13/2005,113.39
GC Equity Fund,8/14/2005,113.39
GC Equity Fund,8/15/2005,112.21
GC Equity Fund,8/16/2005,112.31
GC Equity Fund,8/17/2005,112.88
GC Equity Fund,8/18/2005,111.23
GC Equity Fund,8/19/2005,110.39
GC Equity Fund,8/20/2005,110.39
GC Equity Fund,8/21/2005,110.39
GC Equity Fund,8/22/2005,111.49
GC Equity Fund,8/23/2005,110.4
GC Equity Fund,8/24/2005,109.5
GC Equity Fund,8/25/2005,109.5
GC Equity Fund,8/26/2005,110.1
GC Equity Fund,8/27/2005,110.1
GC Equity Fund,8/28/2005,110.1
GC Equity Fund,8/29/2005,108.61
GC Equity Fund,8/30/2005,108.21
GC Equity Fund,8/31/2005,107.62
GC Equity Fund,9/1/2005,108.51
GC Equity Fund,9/2/2005,109.69
GC Equity Fund,9/3/2005,109.69
GC Equity Fund,9/4/2005,109.69
GC Equity Fund,9/5/2005,109.69
GC Equity Fund,9/6/2005,109.79
GC Equity Fund,9/7/2005,109.98
GC Equity Fund,9/8/2005,109.69
GC Equity Fund,9/9/2005,109.79
GC Equity Fund,9/10/2005,109.79
GC Equity Fund,9/11/2005,109.79
GC Equity Fund,9/12/2005,110.96
GC Equity Fund,9/13/2005,110.28
GC Equity Fund,9/14/2005,109.79
GC Equity Fund,9/15/2005,109.1
GC Equity Fund,9/16/2005,107.92
GC Equity Fund,9/17/2005,107.92
GC Equity Fund,9/18/2005,107.92
GC Equity Fund,9/19/2005,107.92
GC Equity Fund,9/20/2005,109.69
GC Equity Fund,9/21/2005,109.59
GC Equity Fund,9/22/2005,109
GC Equity Fund,9/23/2005,107.9
GC Equity Fund,9/24/2005,107.9
GC Equity Fund,9/25/2005,107.9
GC Equity Fund,9/26/2005,108.49
GC Equity Fund,9/27/2005,108.1
GC Equity Fund,9/28/2005,108.49
GC Equity Fund,9/29/2005,110.07
GC Equity Fund,9/30/2005,110.87
GC Equity Fund,10/1/2005,110.87
GC Equity Fund,10/2/2005,110.87
GC Equity Fund,10/3/2005,111.65
GC Equity Fund,10/4/2005,112.05
GC Equity Fund,10/5/2005,111.45
GC Equity Fund,10/6/2005,109.65
GC Equity Fund,10/7/2005,109.65
GC Equity Fund,10/8/2005,109.65
GC Equity Fund,10/9/2005,109.65
GC Equity Fund,10/10/2005,109.75
GC Equity Fund,10/11/2005,109.75
GC Equity Fund,10/12/2005,107.58
GC Equity Fund,10/13/2005,107.09
GC Equity Fund,10/14/2005,106.49
GC Equity Fund,10/15/2005,106.49
GC Equity Fund,10/16/2005,106.49
GC Equity Fund,10/17/2005,105.51
GC Equity Fund,10/18/2005,106.1
GC Equity Fund,10/19/2005,103.72
GC Equity Fund,10/20/2005,104.51
GC Equity Fund,10/21/2005,104.91
GC Equity Fund,10/22/2005,104.91
GC Equity Fund,10/23/2005,104.91
GC Equity Fund,10/24/2005,104.61
GC Equity Fund,10/25/2005,104.21
GC Equity Fund,10/26/2005,103.52
GC Equity Fund,10/27/2005,103.02
GC Equity Fund,10/28/2005,102.23
GC Equity Fund,10/29/2005,102.23
GC Equity Fund,10/30/2005,102.23
GC Equity Fund,10/31/2005,104.02
GC Equity Fund,11/1/2005,105.62
GC Equity Fund,11/2/2005,106.32
GC Equity Fund,11/3/2005,106.42
GC Equity Fund,11/4/2005,106.72
GC Equity Fund,11/5/2005,106.72
GC Equity Fund,11/6/2005,106.72
GC Equity Fund,11/7/2005,105.22
GC Equity Fund,11/8/2005,105.13
GC Equity Fund,11/9/2005,106.3
GC Equity Fund,11/10/2005,106.6
GC Equity Fund,11/11/2005,107.89
GC Equity Fund,11/12/2005,107.89
GC Equity Fund,11/13/2005,107.89
GC Equity Fund,11/14/2005,108.09
GC Equity Fund,11/15/2005,107.59
GC Equity Fund,11/16/2005,107.59
GC Equity Fund,11/17/2005,108.09
GC Equity Fund,11/18/2005,109.67
GC Equity Fund,11/19/2005,109.67
GC Equity Fund,11/20/2005,109.67
GC Equity Fund,11/21/2005,110.07
GC Equity Fund,11/22/2005,108.98
GC Equity Fund,11/23/2005,110.76
GC Equity Fund,11/24/2005,111.26
GC Equity Fund,11/25/2005,112.06
GC Equity Fund,11/26/2005,112.06
GC Equity Fund,11/27/2005,112.06
GC Equity Fund,11/28/2005,113.15
GC Equity Fund,11/29/2005,112.05
GC Equity Fund,11/30/2005,112.85
GC Equity Fund,12/1/2005,113.34
GC Equity Fund,12/2/2005,114.54
GC Equity Fund,12/3/2005,114.54
GC Equity Fund,12/4/2005,114.54
GC Equity Fund,12/5/2005,116.02
GC Equity Fund,12/6/2005,115.43
GC Equity Fund,12/7/2005,115.33
GC Equity Fund,12/8/2005,114.33
GC Equity Fund,12/9/2005,114.82
GC Equity Fund,12/10/2005,114.82
GC Equity Fund,12/11/2005,114.82
GC Equity Fund,12/12/2005,114.62
GC Equity Fund,12/13/2005,115.02
GC Equity Fund,12/14/2005,115.02
GC Equity Fund,12/15/2005,116.01
GC Equity Fund,12/16/2005,116.41
GC Equity Fund,12/17/2005,116.41
GC Equity Fund,12/18/2005,116.41
GC Equity Fund,12/19/2005,118.39
GC Equity Fund,12/20/2005,117.89
