Type,Date,Price
Global Bond Fund,2/3/2009,98.91
Global Bond Fund,2/4/2009,99.27
Global Bond Fund,2/5/2009,98.97
Global Bond Fund,2/6/2009,98.55
Global Bond Fund,2/7/2009,98.55
Global Bond Fund,2/8/2009,98.55
Global Bond Fund,2/9/2009,99.03
Global Bond Fund,2/10/2009,99.44
Global Bond Fund,2/11/2009,99.78
Global Bond Fund,2/12/2009,100.02
Global Bond Fund,2/13/2009,99.61
Global Bond Fund,2/14/2009,99.61
Global Bond Fund,2/15/2009,99.61
Global Bond Fund,2/16/2009,99.18
Global Bond Fund,2/17/2009,99.62
Global Bond Fund,2/18/2009,98.57
Global Bond Fund,2/19/2009,97.77
Global Bond Fund,2/20/2009,98.13
Global Bond Fund,2/21/2009,98.13
Global Bond Fund,2/22/2009,98.13
Global Bond Fund,2/23/2009,98.85
Global Bond Fund,2/24/2009,98.31
Global Bond Fund,2/25/2009,98.11
Global Bond Fund,2/26/2009,97.02
Global Bond Fund,2/27/2009,96.88
Global Bond Fund,2/28/2009,96.88
Global Bond Fund,3/1/2009,96.88
Global Bond Fund,3/2/2009,97.03
Global Bond Fund,3/3/2009,96.73
Global Bond Fund,3/4/2009,95.61
Global Bond Fund,3/5/2009,96.55
Global Bond Fund,3/6/2009,96.7
Global Bond Fund,3/7/2009,96.7
Global Bond Fund,3/8/2009,96.7
Global Bond Fund,3/9/2009,96.93
Global Bond Fund,3/10/2009,95.96
Global Bond Fund,3/11/2009,96.46
Global Bond Fund,3/12/2009,97.48
Global Bond Fund,3/13/2009,97.53
Global Bond Fund,3/14/2009,97.53
Global Bond Fund,3/15/2009,97.53
Global Bond Fund,3/16/2009,96.9
Global Bond Fund,3/17/2009,97.01
Global Bond Fund,3/18/2009,97.56
Global Bond Fund,3/19/2009,99.78
Global Bond Fund,3/20/2009,101
Global Bond Fund,3/21/2009,101
Global Bond Fund,3/22/2009,101
Global Bond Fund,3/23/2009,100.47
Global Bond Fund,3/24/2009,100.15
Global Bond Fund,3/25/2009,99.32
Global Bond Fund,3/26/2009,99.85
Global Bond Fund,3/27/2009,99.73
Global Bond Fund,3/28/2009,99.73
Global Bond Fund,3/29/2009,99.73
Global Bond Fund,3/30/2009,99.03
Global Bond Fund,3/31/2009,99.06
Global Bond Fund,4/1/2009,98.88
Global Bond Fund,4/2/2009,98.69
Global Bond Fund,4/3/2009,98.81
Global Bond Fund,4/4/2009,98.81
Global Bond Fund,4/5/2009,98.81
Global Bond Fund,4/6/2009,98.99
Global Bond Fund,4/7/2009,98.44
Global Bond Fund,4/8/2009,98.13
Global Bond Fund,4/9/2009,98.26
Global Bond Fund,4/10/2009,98.26
Global Bond Fund,4/11/2009,98.26
Global Bond Fund,4/12/2009,98.26
Global Bond Fund,4/13/2009,98.26
Global Bond Fund,4/14/2009,99.05
Global Bond Fund,4/15/2009,99.27
Global Bond Fund,4/16/2009,99.22
Global Bond Fund,4/17/2009,98.42
Global Bond Fund,4/18/2009,98.42
Global Bond Fund,4/19/2009,98.42
Global Bond Fund,4/20/2009,98.47
Global Bond Fund,4/21/2009,98.28
Global Bond Fund,4/22/2009,98.1
Global Bond Fund,4/23/2009,98.41
Global Bond Fund,4/24/2009,98.95
Global Bond Fund,4/25/2009,98.95
Global Bond Fund,4/26/2009,98.95
Global Bond Fund,4/27/2009,99.54
Global Bond Fund,4/28/2009,99.12
Global Bond Fund,4/29/2009,99.43
Global Bond Fund,4/30/2009,99.78
Global Bond Fund,5/1/2009,99.78
Global Bond Fund,5/2/2009,99.78
Global Bond Fund,5/3/2009,99.78
Global Bond Fund,5/4/2009,99.54
Global Bond Fund,5/5/2009,99.95
Global Bond Fund,5/6/2009,99.95
Global Bond Fund,5/7/2009,99.52
Global Bond Fund,5/8/2009,99.57
Global Bond Fund,5/9/2009,99.57
Global Bond Fund,5/10/2009,99.57
Global Bond Fund,5/11/2009,101
Global Bond Fund,5/12/2009,100.99
Global Bond Fund,5/13/2009,101.93
