Type,Date,Price
NA Equity Fund,10/26/2002,73.86
NA Equity Fund,10/27/2002,73.86
NA Equity Fund,10/28/2002,73.86
NA Equity Fund,10/29/2002,73.57
NA Equity Fund,10/30/2002,74.15
NA Equity Fund,10/31/2002,73.65
NA Equity Fund,11/1/2002,74.81
NA Equity Fund,11/2/2002,75.29
NA Equity Fund,11/3/2002,75.29
NA Equity Fund,11/4/2002,75.29
NA Equity Fund,11/5/2002,75.8
NA Equity Fund,11/6/2002,76.38
NA Equity Fund,11/7/2002,75.09
NA Equity Fund,11/8/2002,74.35
NA Equity Fund,11/9/2002,72.97
NA Equity Fund,11/10/2002,72.97
NA Equity Fund,11/11/2002,72.97
NA Equity Fund,11/12/2002,73.7
NA Equity Fund,11/13/2002,73.49
NA Equity Fund,11/14/2002,75.42
NA Equity Fund,11/15/2002,75.89
NA Equity Fund,11/16/2002,74.85
NA Equity Fund,11/17/2002,74.85
NA Equity Fund,11/18/2002,74.85
NA Equity Fund,11/19/2002,74.56
NA Equity Fund,11/20/2002,75.94
NA Equity Fund,11/21/2002,77.71
NA Equity Fund,11/22/2002,77.32
NA Equity Fund,11/23/2002,77.53
NA Equity Fund,11/24/2002,77.53
NA Equity Fund,11/25/2002,77.53
NA Equity Fund,11/26/2002,76.41
NA Equity Fund,11/27/2002,78.45
NA Equity Fund,11/28/2002,78.45
NA Equity Fund,11/29/2002,78.04
NA Equity Fund,11/30/2002,78.24
NA Equity Fund,12/1/2002,78.24
NA Equity Fund,12/2/2002,78.24
NA Equity Fund,12/3/2002,77.07
NA Equity Fund,12/4/2002,76.78
NA Equity Fund,12/5/2002,75.71
NA Equity Fund,12/6/2002,76.1
NA Equity Fund,12/7/2002,74.3
NA Equity Fund,12/8/2002,74.3
NA Equity Fund,12/9/2002,74.3
NA Equity Fund,12/10/2002,75.39
NA Equity Fund,12/11/2002,75.2
NA Equity Fund,12/12/2002,75.19
NA Equity Fund,12/13/2002,73.95
NA Equity Fund,12/14/2002,75.68
NA Equity Fund,12/15/2002,75.68
NA Equity Fund,12/16/2002,75.68
NA Equity Fund,12/17/2002,75.1
NA Equity Fund,12/18/2002,74.13
NA Equity Fund,12/19/2002,73.44
NA Equity Fund,12/20/2002,74.52
NA Equity Fund,12/21/2002,74.52
NA Equity Fund,12/22/2002,74.52
NA Equity Fund,12/23/2002,74.52
NA Equity Fund,12/24/2002,74.01
NA Equity Fund,12/25/2002,72.54
NA Equity Fund,12/26/2002,72.54
NA Equity Fund,12/27/2002,72.54
NA Equity Fund,12/28/2002,72.83
NA Equity Fund,12/29/2002,72.83
NA Equity Fund,12/30/2002,72.83
NA Equity Fund,12/31/2002,72.73
NA Equity Fund,1/1/2003,75.16
NA Equity Fund,1/2/2003,75.16
NA Equity Fund,1/3/2003,75.16
NA Equity Fund,1/4/2003,76.93
NA Equity Fund,1/5/2003,76.93
NA Equity Fund,1/6/2003,76.93
NA Equity Fund,1/7/2003,76.46
NA Equity Fund,1/8/2003,75.28
NA Equity Fund,1/9/2003,76.86
NA Equity Fund,1/10/2003,76.96
NA Equity Fund,1/11/2003,76.95
NA Equity Fund,1/12/2003,76.95
NA Equity Fund,1/13/2003,76.95
NA Equity Fund,1/14/2003,77.47
NA Equity Fund,1/15/2003,76.37
NA Equity Fund,1/16/2003,75.87
NA Equity Fund,1/17/2003,74.51
NA Equity Fund,1/18/2003,74.51
NA Equity Fund,1/19/2003,74.51
NA Equity Fund,1/20/2003,74.51
NA Equity Fund,1/21/2003,73.35
NA Equity Fund,1/22/2003,72.86
NA Equity Fund,1/23/2003,73.56
NA Equity Fund,1/24/2003,71.24
NA Equity Fund,1/25/2003,70.17
NA Equity Fund,1/26/2003,70.17
NA Equity Fund,1/27/2003,70.17
NA Equity Fund,1/28/2003,71.27
NA Equity Fund,1/29/2003,71.96
NA Equity Fund,1/30/2003,70.41
NA Equity Fund,1/31/2003,70.58
NA Equity Fund,2/1/2003,70.58
NA Equity Fund,2/2/2003,70.58
NA Equity Fund,2/3/2003,70.58
NA Equity Fund,2/4/2003,70.58
NA Equity Fund,2/5/2003,70.19
NA Equity Fund,2/6/2003,69.7
NA Equity Fund,2/7/2003,69.11
NA Equity Fund,2/8/2003,69.4
NA Equity Fund,2/9/2003,69.4
NA Equity Fund,2/10/2003,69.4
NA Equity Fund,2/11/2003,68.82
NA Equity Fund,2/12/2003,68.03
NA Equity Fund,2/13/2003,67.74
NA Equity Fund,2/14/2003,69.1
NA Equity Fund,2/15/2003,69.1
NA Equity Fund,2/16/2003,69.1
NA Equity Fund,2/17/2003,69.1
NA Equity Fund,2/18/2003,70.66
NA Equity Fund,2/19/2003,70.08
NA Equity Fund,2/20/2003,69.59
NA Equity Fund,2/21/2003,70.48
NA Equity Fund,2/22/2003,69.1
NA Equity Fund,2/23/2003,69.1
NA Equity Fund,2/24/2003,69.1
NA Equity Fund,2/25/2003,69.69
NA Equity Fund,2/26/2003,68.8
NA Equity Fund,2/27/2003,69.4
NA Equity Fund,2/28/2003,69.98
NA Equity Fund,3/1/2003,69.09
NA Equity Fund,3/2/2003,69.09
NA Equity Fund,3/3/2003,69.09
NA Equity Fund,3/4/2003,68.1
NA Equity Fund,3/5/2003,68.69
NA Equity Fund,3/6/2003,68.1
NA Equity Fund,3/7/2003,68.69
NA Equity Fund,3/8/2003,67.02
NA Equity Fund,3/9/2003,67.02
NA Equity Fund,3/10/2003,67.02
NA Equity Fund,3/11/2003,66.33
NA Equity Fund,3/12/2003,66.72
NA Equity Fund,3/13/2003,69.04
NA Equity Fund,3/14/2003,69.24
NA Equity Fund,3/15/2003,71.49
NA Equity Fund,3/16/2003,71.49
NA Equity Fund,3/17/2003,71.49
NA Equity Fund,3/18/2003,71.79
NA Equity Fund,3/19/2003,72.37
NA Equity Fund,3/20/2003,72.47
NA Equity Fund,3/21/2003,74.02
NA Equity Fund,3/22/2003,71.47
NA Equity Fund,3/23/2003,71.47
NA Equity Fund,3/24/2003,71.47
NA Equity Fund,3/25/2003,72.19
NA Equity Fund,3/26/2003,71.89
NA Equity Fund,3/27/2003,71.79
NA Equity Fund,3/28/2003,71.4
NA Equity Fund,3/29/2003,70.1
NA Equity Fund,3/30/2003,70.1
NA Equity Fund,3/31/2003,70.1
NA Equity Fund,4/1/2003,71.01
NA Equity Fund,4/2/2003,72.82
NA Equity Fund,4/3/2003,72.43
NA Equity Fund,4/4/2003,72.43
NA Equity Fund,4/5/2003,72.42
NA Equity Fund,4/6/2003,72.42
NA Equity Fund,4/7/2003,72.42
NA Equity Fund,4/8/2003,72.23
NA Equity Fund,4/9/2003,71.24
NA Equity Fund,4/10/2003,71.64
NA Equity Fund,4/11/2003,71.34
NA Equity Fund,4/12/2003,72.71
NA Equity Fund,4/13/2003,72.71
NA Equity Fund,4/14/2003,72.71
NA Equity Fund,4/15/2003,73.28
NA Equity Fund,4/16/2003,72.52
NA Equity Fund,4/17/2003,73.61
NA Equity Fund,4/18/2003,75.02
NA Equity Fund,4/19/2003,75.02
NA Equity Fund,4/20/2003,75.02
NA Equity Fund,4/21/2003,75.02
NA Equity Fund,4/22/2003,75.02
NA Equity Fund,4/23/2003,75.7
NA Equity Fund,4/24/2003,75.21
NA Equity Fund,4/25/2003,74.03
NA Equity Fund,4/26/2003,75.33
NA Equity Fund,4/27/2003,75.33
NA Equity Fund,4/28/2003,75.33
NA Equity Fund,4/29/2003,75.82
NA Equity Fund,4/30/2003,75.73
NA Equity Fund,5/1/2003,76.9
NA Equity Fund,5/2/2003,76.9
NA Equity Fund,5/3/2003,76.61
NA Equity Fund,5/4/2003,76.61
NA Equity Fund,5/5/2003,76.61
NA Equity Fund,5/6/2003,77.11
NA Equity Fund,5/7/2003,76.7
NA Equity Fund,5/8/2003,76.8
NA Equity Fund,5/9/2003,76.8
NA Equity Fund,5/10/2003,77.88
NA Equity Fund,5/11/2003,77.88
NA Equity Fund,5/12/2003,77.88
NA Equity Fund,5/13/2003,77.79
NA Equity Fund,5/14/2003,77.4
NA Equity Fund,5/15/2003,77.89
NA Equity Fund,5/16/2003,77.6
NA Equity Fund,5/17/2003,75.66
NA Equity Fund,5/18/2003,75.66
NA Equity Fund,5/19/2003,75.66
NA Equity Fund,5/20/2003,75.66
NA Equity Fund,5/21/2003,76.16
NA Equity Fund,5/22/2003,76.98
NA Equity Fund,5/23/2003,76.98
NA Equity Fund,5/24/2003,76.98
NA Equity Fund,5/25/2003,76.98
NA Equity Fund,5/26/2003,76.98
NA Equity Fund,5/27/2003,78.47
NA Equity Fund,5/28/2003,78.77
NA Equity Fund,5/29/2003,78.36
NA Equity Fund,5/30/2003,79.45
NA Equity Fund,5/31/2003,79.75
NA Equity Fund,6/1/2003,79.75
NA Equity Fund,6/2/2003,79.75
NA Equity Fund,6/3/2003,80.05
NA Equity Fund,6/4/2003,81.82
NA Equity Fund,6/5/2003,81.82
NA Equity Fund,6/6/2003,81.62
NA Equity Fund,6/7/2003,80.63
NA Equity Fund,6/8/2003,80.63
